FX,FY,FZ,Yaw,Pitch,Roll
0.962568,0.339524,10.549357,0.151649,0.094003,0.007147
0.962568,0.339524,10.549357,0.151004,0.094258,0.005412
0.962568,0.339524,10.549357,0.149396,0.094609,0.005608
1.150948,0.549966,12.309695,0.146602,0.095490,0.005293
1.150948,0.549966,12.309695,0.145010,0.096354,0.005157
1.183891,0.553951,12.389881,0.141808,0.096231,0.005117
1.183891,0.553951,12.389881,0.139448,0.097912,0.003888
1.214402,0.568651,12.386262,0.134300,0.098545,0.003432
1.214402,0.568651,12.386262,0.129333,0.097802,0.001539
1.214402,0.568651,12.386262,0.127135,0.096709,0.003208
1.133572,0.508251,11.687713,0.126112,0.096644,0.004261
1.133572,0.508251,11.687713,0.127722,0.096371,0.006659
1.071097,0.394711,11.017952,0.126566,0.095832,0.007430
1.071097,0.394711,11.017952,0.121027,0.095471,0.007387
1.071097,0.394711,11.017952,0.116788,0.094113,0.005506
1.022546,0.357890,10.618214,0.117856,0.094207,0.003963
1.022546,0.357890,10.618214,0.119052,0.092840,0.004307
0.996101,0.369562,10.553281,0.118660,0.091612,0.004339
0.996101,0.369562,10.553281,0.116822,0.090040,0.004039
0.996101,0.369562,10.553281,0.117533,0.089041,0.004381
0.982213,0.349886,10.469708,0.118725,0.087910,0.004859
0.982213,0.349886,10.469708,0.117932,0.088193,0.006315
0.933707,0.322665,9.951058,0.117304,0.088289,0.006785
0.933707,0.322665,9.951058,0.114136,0.086717,0.008642
0.927849,0.265893,9.952806,0.110049,0.086808,0.009329
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,0.002765,0.166056,0.059157,0.058806,-0.001809
0.040727,0.005816,0.348349,0.056701,0.059649,-0.001613
0.040727,0.005816,0.348349,0.055726,0.057823,-0.001815
0.040140,0.010397,0.348381,0.056218,0.058192,-0.001913
0.040140,0.010397,0.348381,0.056346,0.057711,-0.002167
0.040140,0.010397,0.348381,0.056107,0.055411,-0.002972
0.033174,0.010963,0.348845,0.055990,0.052137,-0.003922
0.033174,0.010963,0.348845,0.055164,0.052166,-0.005044
0.033174,0.010963,0.348845,0.054335,0.051219,-0.006192
0.018002,0.013648,0.349591,0.053746,0.051968,-0.006921
0.018002,0.013648,0.349591,0.053148,0.052464,-0.007290
0.018185,0.026809,0.349421,0.051220,0.053575,-0.008047
