FX,FY,FZ,Yaw,Pitch,Roll
-0.120611,-0.056003,0.155594,0.307048,-0.099975,0.268423
-0.120611,-0.056003,0.155594,0.302595,-0.103859,0.275795
-0.120611,-0.056003,0.155594,0.303753,-0.105640,0.280397
-0.120611,-0.056003,0.155594,0.305508,-0.105332,0.282264
-0.120611,-0.056003,0.155594,0.305912,-0.104127,0.288393
-0.120611,-0.056003,0.155594,0.312909,-0.105015,0.292811
0.173245,0.615128,-3.038713,0.324046,-0.108405,0.304390
0.173245,0.615128,-3.038713,0.320179,-0.108597,0.314518
0.227651,0.764127,-3.478733,0.314890,-0.107306,0.319756
0.227651,0.764127,-3.478733,0.295748,-0.100835,0.331289
0.227651,0.764127,-3.478733,0.282824,-0.095517,0.336555
0.223576,0.961456,-3.866852,0.283615,-0.093701,0.339508
0.223576,0.961456,-3.866852,0.286974,-0.093024,0.340497
0.223576,0.961456,-3.866852,0.289203,-0.092962,0.340578
0.223576,0.961456,-3.866852,0.292172,-0.091843,0.341404
0.223576,0.961456,-3.866852,0.293709,-0.090774,0.341867
0.223576,0.961456,-3.866852,0.287377,-0.086633,0.344782
0.223576,0.961456,-3.866852,0.281581,-0.083496,0.346655
0.223576,0.961456,-3.866852,0.281374,-0.083743,0.347892
0.223576,0.961456,-3.866852,0.280518,-0.085996,0.353513
0.223576,0.961456,-3.866852,0.273416,-0.084242,0.357250
0.223576,0.961456,-3.866852,0.267648,-0.080989,0.358496
0.054498,0.621540,-2.658818,0.272871,-0.081758,0.356042
0.054498,0.621540,-2.658818,0.276354,-0.082384,0.354163
0.124751,0.832232,-3.485096,0.280244,-0.081901,0.350511
0.124751,0.832232,-3.485096,0.278616,-0.079729,0.349687
0.124751,0.832232,-3.485096,0.274862,-0.077251,0.350298
0.160054,0.831488,-3.481829,0.268707,-0.074509,0.351347
0.160054,0.831488,-3.481829,0.262509,-0.072488,0.350804
0.159656,0.836163,-3.478921,0.259503,-0.071226,0.348852
0.159656,0.836163,-3.478921,0.266474,-0.073567,0.346361
0.185677,0.883492,-3.643546,0.273212,-0.075672,0.345124
0.185677,0.883492,-3.643546,0.270451,-0.074595,0.345178
0.185677,0.883492,-3.643546,0.267256,-0.072353,0.344997
0.185885,0.939831,-3.800009,0.269093,-0.073960,0.346639
0.185885,0.939831,-3.800009,0.269864,-0.076152,0.349754
0.193617,0.978488,-3.828816,0.259569,-0.074727,0.352341
0.193617,0.978488,-3.828816,0.260120,-0.075990,0.353190
0.193617,0.978488,-3.828816,0.263966,-0.076709,0.353280
0.211661,1.044126,-3.994737,0.267386,-0.075870,0.352840
0.211661,1.044126,-3.994737,0.270334,-0.075111,0.351883
0.197530,1.040589,-3.996379,0.269252,-0.072527,0.352450
0.197530,1.040589,-3.996379,0.267461,-0.070558,0.353334
0.190718,0.901133,-3.595772,0.267163,-0.069119,0.354384
0.190718,0.901133,-3.595772,0.263052,-0.066797,0.355829
0.190718,0.901133,-3.595772,0.259322,-0.064179,0.356320
0.166896,0.892879,-3.527536,0.260263,-0.064318,0.356028
0.166896,0.892879,-3.527536,0.259374,-0.065900,0.356868
0.155408,0.880863,-3.477039,0.253430,-0.064649,0.356580
0.155408,0.880863,-3.477039,0.245797,-0.063212,0.356319
0.155408,0.880863,-3.477039,0.239700,-0.061203,0.355715
0.155408,0.880863,-3.477039,0.237946,-0.058876,0.354623
0.155408,0.880863,-3.477039,0.237500,-0.053138,0.351369
0.155408,0.880863,-3.477039,0.238202,-0.047459,0.347002
0.155408,0.880863,-3.477039,0.247091,-0.052068,0.353314
0.155408,0.880863,-3.477039,0.243556,-0.046113,0.354907
0.155408,0.880863,-3.477039,0.228179,-0.035510,0.356238
0.155408,0.880863,-3.477039,0.222448,-0.029303,0.353169
0.155408,0.880863,-3.477039,0.231146,-0.029541,0.350938
-0.062865,-0.283195,-0.213073,0.242817,-0.031511,0.350031
-0.062865,-0.283195,-0.213073,0.242248,-0.028654,0.349632
-0.062865,-0.283195,-0.213073,0.234444,-0.023927,0.349280
0.347321,-3.779401,10.005145,0.224931,-0.017928,0.347642
0.347321,-3.779401,10.005145,0.222209,-0.015316,0.346546
0.347321,-3.779401,10.005145,0.218794,-0.012109,0.345375
0.525933,-7.108406,19.870575,0.221559,-0.010516,0.341866
0.525933,-7.108406,19.870575,0.230207,-0.011285,0.338903
0.701748,-9.780320,28.383526,0.239014,-0.013038,0.334456
0.701748,-9.780320,28.383526,0.242379,-0.013716,0.330790
0.551584,-11.838470,36.047321,0.246571,-0.014255,0.325171
0.551584,-11.838470,36.047321,0.246603,-0.012892,0.318487
0.551584,-11.838470,36.047321,0.249517,-0.011948,0.312415
0.567780,-12.920744,41.649261,0.246872,-0.009583,0.305817
0.567780,-12.920744,41.649261,0.243661,-0.007678,0.303285
