FX,FY,FZ,Yaw,Pitch,Roll
0.445985,1.028450,-6.797859,0.091136,-0.077443,0.215702
0.461715,1.127818,-7.163010,0.090843,-0.076724,0.216601
0.461715,1.127818,-7.163010,0.090958,-0.076632,0.217087
0.457261,1.148407,-7.181928,0.090622,-0.076622,0.217844
0.457261,1.148407,-7.181928,0.090159,-0.075630,0.218379
0.457261,1.148407,-7.181928,0.091195,-0.074402,0.217753
0.445557,1.151655,-7.181848,0.092612,-0.073217,0.217127
0.445557,1.151655,-7.181848,0.092988,-0.072507,0.216269
0.417829,1.100501,-7.032383,0.093560,-0.071437,0.214808
0.417829,1.100501,-7.032383,0.095483,-0.069768,0.212818
0.416397,1.066898,-6.910338,0.098237,-0.068806,0.211292
0.416397,1.066898,-6.910338,0.100106,-0.067314,0.211037
0.416397,1.066898,-6.910338,0.099039,-0.066258,0.211478
0.390968,1.060933,-6.850659,0.093401,-0.065009,0.213524
0.390968,1.060933,-6.850659,0.076212,-0.061963,0.218041
0.354887,1.119659,-6.843461,0.060437,-0.062086,0.221067
0.354887,1.119659,-6.843461,0.058901,-0.065066,0.222799
0.354887,1.119659,-6.843461,0.061961,-0.066392,0.223918
0.399441,1.228497,-7.409488,0.066647,-0.066117,0.225265
0.399441,1.228497,-7.409488,0.068509,-0.060683,0.224677
0.342015,1.273820,-7.703166,0.072233,-0.056862,0.222814
0.342015,1.273820,-7.703166,0.084121,-0.056313,0.220187
0.373114,1.248806,-7.705462,0.089035,-0.056359,0.219571
0.373114,1.248806,-7.705462,0.097487,-0.053854,0.217488
0.373114,1.248806,-7.705462,0.103282,-0.051179,0.215857
0.315026,1.041901,-6.926274,0.108617,-0.048446,0.214271
0.315026,1.041901,-6.926274,0.111455,-0.050926,0.219275
0.342194,1.141816,-6.877430,0.106290,-0.050768,0.220498
0.342194,1.141816,-6.877430,0.085439,-0.041516,0.221350
0.342194,1.141816,-6.877430,0.087203,-0.038129,0.218612
0.250584,1.039560,-6.545411,0.119318,-0.040887,0.215068
0.250584,1.039560,-6.545411,0.169458,-0.049594,0.216204
0.250584,1.039560,-6.545411,0.179053,-0.051631,0.220573
0.307945,0.967786,-6.099621,0.161931,-0.046561,0.232810
0.307945,0.967786,-6.099621,0.126543,-0.037391,0.241633
0.161371,0.575434,-3.696927,0.093709,-0.026418,0.251719
0.161371,0.575434,-3.696927,0.054971,-0.013779,0.266157
0.278190,0.279063,-2.185069,0.041308,-0.007759,0.270513
0.278190,0.279063,-2.185069,0.034463,0.001282,0.274994
0.278190,0.279063,-2.185069,0.048725,0.003199,0.280267
0.734280,-0.644453,1.596491,0.063855,0.003365,0.282353
0.734280,-0.644453,1.596491,0.078687,0.006389,0.284321
1.043054,-2.604564,9.940820,0.082895,0.007515,0.285406
1.043054,-2.604564,9.940820,0.077833,0.014425,0.287521
1.043054,-2.604564,9.940820,0.074831,0.018581,0.289029
1.551696,-6.023461,23.690298,0.063426,0.021902,0.294803
1.551696,-6.023461,23.690298,0.040766,0.028376,0.297234
2.319460,-9.342118,35.315159,0.033736,0.031205,0.296945
2.319460,-9.342118,35.315159,0.029303,0.034409,0.299305
2.902445,-13.050377,47.518486,0.030242,0.034789,0.297223
2.902445,-13.050377,47.518486,0.039734,0.030813,0.295943
2.902445,-13.050377,47.518486,0.048534,0.027979,0.292065
3.243448,-17.176058,63.343712,0.050397,0.026519,0.292163
3.243448,-17.176058,63.343712,0.048289,0.026787,0.289792
3.577051,-16.564808,63.511791,0.043087,0.028373,0.289750
3.577051,-16.564808,63.511791,0.036710,0.029193,0.293722
3.577051,-16.564808,63.511791,0.033102,0.030715,0.291979
3.908515,-16.567232,63.502411,0.035652,0.030077,0.292987
3.908515,-16.567232,63.502411,0.036641,0.029687,0.288931
3.807583,-16.135464,63.632454,0.043808,0.025383,0.287180
3.807583,-16.135464,63.632454,0.046539,0.024317,0.278180
4.954376,-36.487400,137.924606,0.052986,0.018396,0.275730
4.954376,-36.487400,137.924606,0.045565,0.020089,0.273221
4.954376,-36.487400,137.924606,0.045895,0.019814,0.264715
5.104362,-34.869160,138.647949,0.041539,0.020550,0.263189
5.104362,-34.869160,138.647949,0.043320,0.018687,0.257369
4.742769,-34.091721,138.540436,0.035570,0.017921,0.256518
4.742769,-34.091721,138.540436,0.034638,0.018101,0.253802
4.742769,-34.091721,138.540436,0.029027,0.016464,0.252096
4.308278,-32.216366,132.977646,0.032458,0.014479,0.246177
4.308278,-32.216366,132.977646,0.035160,0.011507,0.241105
3.873112,-30.931105,132.930344,0.028297,0.013798,0.232729
3.873112,-30.931105,132.930344,0.030838,0.012984,0.228308
3.873112,-30.931105,132.930344,0.027462,0.012113,0.217443
3.701655,-27.415720,133.307678,0.031488,0.010447,0.205786
3.701655,-27.415720,133.307678,0.041118,0.005827,0.190532
2.686063,-23.882242,134.009293,0.049856,0.002429,0.177977
2.686063,-23.882242,134.009293,0.053550,0.000675,0.172792
1.769104,-20.600468,128.353210,0.051004,0.000066,0.162958
1.769104,-20.600468,128.353210,0.045756,0.001119,0.156969
1.769104,-20.600468,128.353210,0.043642,0.000829,0.150350
