FX,FY,FZ,Yaw,Pitch,Roll
-0.865562,0.171993,1.663317,0.034708,-0.270447,0.011770
-0.865562,0.171993,1.663317,0.039047,-0.267779,0.004449
-0.865562,0.171993,1.663317,0.049111,-0.261959,-0.004685
-0.865562,0.171993,1.663317,0.053237,-0.257878,-0.009706
-0.865562,0.171993,1.663317,0.061774,-0.257141,-0.013591
-0.865562,0.171993,1.663317,0.065439,-0.257368,-0.013819
-0.865562,0.171993,1.663317,0.071516,-0.260431,-0.010643
-0.865562,0.171993,1.663317,0.070342,-0.268464,-0.002345
-0.865562,0.171993,1.663317,0.075661,-0.277214,0.004057
-1.072249,0.251728,2.024013,0.092984,-0.287366,0.010735
-1.072249,0.251728,2.024013,0.102992,-0.291695,0.013741
-1.072249,0.251728,2.024013,0.119451,-0.298667,0.020023
-0.859142,0.140628,1.156687,0.126870,-0.303314,0.028385
-0.859142,0.140628,1.156687,0.140709,-0.303911,0.029220
-0.856134,0.134583,1.156232,0.163337,-0.307373,0.028401
-0.856134,0.134583,1.156232,0.175649,-0.309655,0.030106
-0.856134,0.134583,1.156232,0.183014,-0.312678,0.036288
-1.084574,0.146618,2.113766,0.176700,-0.312362,0.046654
-1.084574,0.146618,2.113766,0.171389,-0.310519,0.053175
-1.074408,0.189311,2.125640,0.165503,-0.303879,0.054840
-1.074408,0.189311,2.125640,0.166861,-0.301476,0.053086
-1.184659,0.192763,2.511641,0.175447,-0.296219,0.045908
-1.184659,0.192763,2.511641,0.191103,-0.292590,0.035463
-1.184659,0.192763,2.511641,0.200278,-0.292754,0.027130
-1.184753,0.252157,2.507805,0.204829,-0.296200,0.021514
-1.184753,0.252157,2.507805,0.204163,-0.299063,0.020464
-1.237640,0.233062,2.447827,0.197914,-0.307112,0.020744
-1.237640,0.233062,2.447827,0.187060,-0.317796,0.022656
-1.237640,0.233062,2.447827,0.185487,-0.324892,0.021991
-1.315473,0.242056,2.084870,0.192156,-0.327364,0.009583
-1.315473,0.242056,2.084870,0.204010,-0.327527,0.000795
-1.008190,0.301202,1.174049,0.229959,-0.327202,-0.016981
-1.008190,0.301202,1.174049,0.244632,-0.329536,-0.027189
-1.008190,0.301202,1.174049,0.234909,-0.334620,-0.022455
-0.937078,0.215502,1.192470,0.212526,-0.342204,-0.008338
-0.937078,0.215502,1.192470,0.208036,-0.345025,-0.004261
-1.077417,0.184703,1.681429,0.200875,-0.347667,0.001506
-1.077417,0.184703,1.681429,0.209505,-0.345072,-0.006506
-1.077417,0.184703,1.681429,0.235615,-0.338201,-0.021666
-1.060119,0.250294,1.686376,0.262915,-0.328573,-0.030927
-1.060119,0.250294,1.686376,0.262043,-0.326851,-0.027666
-1.039302,0.250367,1.699273,0.244767,-0.325873,-0.013642
-1.039302,0.250367,1.699273,0.219011,-0.327393,0.003303
-1.039302,0.250367,1.699273,0.214337,-0.328354,0.006474
-1.309220,0.168791,2.529843,0.226077,-0.329452,0.000224
-1.309220,0.168791,2.529843,0.230307,-0.329008,-0.003456
-1.305878,0.209110,2.528558,0.239576,-0.326390,-0.011666
-1.305878,0.209110,2.528558,0.240210,-0.327038,-0.014862
-1.375585,0.227230,2.502776,0.233747,-0.331528,-0.011914
-1.375585,0.227230,2.502776,0.216915,-0.336945,-0.004231
-1.375585,0.227230,2.502776,0.209186,-0.339116,-0.001012
-1.675178,0.184907,3.110138,0.199160,-0.341670,0.001408
-1.675178,0.184907,3.110138,0.200025,-0.344527,-0.002950
-1.688760,0.207456,3.101358,0.206849,-0.344570,-0.008896
-1.688760,0.207456,3.101358,0.208998,-0.340747,-0.013916
-1.688760,0.207456,3.101358,0.208361,-0.338749,-0.015192
-1.379721,0.309604,2.298344,0.204411,-0.335511,-0.013670
-1.379721,0.309604,2.298344,0.193909,-0.333017,-0.005746
-1.310603,0.296444,2.327044,0.191627,-0.327038,-0.009817
-1.310603,0.296444,2.327044,0.189202,-0.324475,-0.009058
-1.211882,0.355149,2.363441,0.191347,-0.324572,-0.009679
-1.211882,0.355149,2.363441,0.196214,-0.326434,-0.012880
-1.211882,0.355149,2.363441,0.206528,-0.329394,-0.017898
-1.309898,0.336536,2.729713,0.206113,-0.329652,-0.016540
-1.309898,0.336536,2.729713,0.188736,-0.325384,-0.009978
-2.009382,0.262986,5.677339,0.180341,-0.322085,-0.007009
-2.009382,0.262986,5.677339,0.166302,-0.315208,-0.000944
-2.009382,0.262986,5.677339,0.158159,-0.305170,0.003533
-4.108554,-0.036092,16.877741,0.153256,-0.296883,0.006271
-4.108554,-0.036092,16.877741,0.154398,-0.287691,0.005439
-4.317863,-0.076774,24.340672,0.153303,-0.284219,0.005576
-4.317863,-0.076774,24.340672,0.147548,-0.277300,0.004799
-6.150465,-0.343906,35.510090,0.143987,-0.267382,0.000951
-6.150465,-0.343906,35.510090,0.145420,-0.258039,-0.002312
-6.150465,-0.343906,35.510090,0.140966,-0.246208,-0.005395
-8.741310,-0.030548,51.178207,0.138153,-0.241583,-0.006134
-8.741310,-0.030548,51.178207,0.133773,-0.229515,-0.009623
-11.132705,0.567970,70.754135,0.132035,-0.220419,-0.011225
-11.132705,0.567970,70.754135,0.133404,-0.211167,-0.013278
-11.132705,0.567970,70.754135,0.131522,-0.200339,-0.011481
-9.978662,0.524226,74.101364,0.127755,-0.195501,-0.010165
-9.978662,0.524226,74.101364,0.126537,-0.186340,-0.007463
-9.978662,0.524226,74.101364,0.125836,-0.180545,-0.003790
-9.740216,-0.154691,77.603287,0.127315,-0.172678,-0.000067
-9.740216,-0.154691,77.603287,0.130478,-0.165119,0.006358
-9.430010,-1.155059,81.355232,0.131203,-0.161975,0.008981
-9.430010,-1.155059,81.355232,0.135104,-0.155349,0.014057
-9.496991,-2.033072,86.124741,0.141685,-0.151727,0.019127
-9.496991,-2.033072,86.124741,0.143124,-0.147206,0.024525
-9.496991,-2.033072,86.124741,0.146437,-0.142414,0.032413
-9.774007,-3.638694,95.007195,0.147185,-0.140680,0.035449
-9.774007,-3.638694,95.007195,0.151744,-0.130978,0.042353
-9.493944,-4.890644,102.522141,0.156899,-0.125170,0.046511
-9.493944,-4.890644,102.522141,0.157419,-0.116613,0.049802
-9.493944,-4.890644,102.522141,0.165310,-0.105187,0.051076
-9.493944,-4.890644,102.522141,0.167557,-0.103158,0.050873
-9.493944,-4.890644,102.522141,0.169461,-0.092110,0.052871
-9.493944,-4.890644,102.522141,0.173619,-0.082291,0.053975
-9.493944,-4.890644,102.522141,0.175705,-0.071705,0.056858
-9.493944,-4.890644,102.522141,0.179648,-0.064789,0.058914
-9.493944,-4.890644,102.522141,0.179802,-0.061019,0.061935
