FX,FY,FZ,Yaw,Pitch,Roll
0.173275,-0.105195,-1.578057,-0.051280,-0.018817,0.013796
0.173275,-0.105195,-1.578057,-0.043329,-0.021682,0.013661
0.185940,-0.108010,-1.575497,-0.030473,-0.026405,0.013716
0.185940,-0.108010,-1.575497,-0.023334,-0.034750,0.014212
0.199606,-0.108015,-1.238377,-0.027087,-0.043527,0.013301
0.199606,-0.108015,-1.238377,-0.030291,-0.055643,0.010384
0.208121,-0.100747,-1.234303,-0.028011,-0.059712,0.008545
0.208121,-0.100747,-1.234303,-0.010000,-0.071039,0.004641
0.208121,-0.100747,-1.234303,0.000162,-0.082792,0.003917
0.199046,-0.090207,-1.068733,-0.000045,-0.096106,0.004177
0.199046,-0.090207,-1.068733,-0.003670,-0.112355,0.004759
0.173795,-0.088909,-1.068511,-0.003141,-0.120183,0.005116
0.173795,-0.088909,-1.068511,0.002941,-0.141856,0.006590
0.173795,-0.088909,-1.068511,0.010674,-0.163444,0.009057
0.157541,-0.085480,-0.977323,0.015653,-0.186396,0.012636
0.157541,-0.085480,-0.977323,0.024768,-0.212020,0.016829
0.114994,-0.082950,-0.937924,0.028155,-0.221044,0.018908
0.114994,-0.082950,-0.937924,0.034501,-0.242544,0.023288
0.012508,-0.081502,-0.803970,0.040812,-0.258167,0.026153
0.012508,-0.081502,-0.803970,0.042377,-0.273037,0.031035
0.012508,-0.081502,-0.803970,0.040760,-0.288482,0.037188
-0.058312,-0.081329,-0.461332,0.040567,-0.293677,0.040026
-0.058312,-0.081329,-0.461332,0.044071,-0.304556,0.046189
-0.023161,-0.075877,-0.455703,0.051268,-0.311437,0.049980
-0.023161,-0.075877,-0.455703,0.059967,-0.315528,0.052225
-0.023161,-0.075877,-0.455703,0.074803,-0.319808,0.053588
0.002249,-0.079220,-0.449291,0.080984,-0.321357,0.053485
0.002249,-0.079220,-0.449291,0.094433,-0.328040,0.052997
0.012667,-0.134958,-0.450562,0.103489,-0.330709,0.053925
0.012667,-0.134958,-0.450562,0.111708,-0.331450,0.056983
0.013834,-0.133169,-0.451060,0.114282,-0.335899,0.058008
0.013834,-0.133169,-0.451060,0.117940,-0.338457,0.056797
0.013834,-0.133169,-0.451060,0.140000,-0.340023,0.050221
